date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:30	80878/80878	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202016%2016:57:40%20GMT	http://st.ourhtmldemo.com/template/organic_store/index.html	C:/My%20Web%20Sites/duan11/st.ourhtmldemo.com/template/organic_store/index.html	(from )
21:31:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Nov%202023%2014:31:28%20GMT	http://st.ourhtmldemo.com/robots.txt		(from )
21:31:31	4952/4952	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Oct%202016%2021:13:22%20GMT	http://st.ourhtmldemo.com/template/organic_store/images/fav-icon/apple-icon-57x57.png	C:/My%20Web%20Sites/duan11/st.ourhtmldemo.com/template/organic_store/images/fav-icon/apple-icon-57x57.png	(from http://st.ourhtmldemo.com/template/organic_store/index.html)
21:31:31	144206/144206	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202016%2023:01:42%20GMT	http://st.ourhtmldemo.com/template/organic_store/css/style.css	C:/My%20Web%20Sites/duan11/st.ourhtmldemo.com/template/organic_store/css/style.css	(from http://st.ourhtmldemo.com/template/organic_store/index.html)
21:31:32	17182/17182	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202016%2019:47:42%20GMT	http://st.ourhtmldemo.com/template/organic_store/css/responsive.css	C:/My%20Web%20Sites/duan11/st.ourhtmldemo.com/template/organic_store/css/responsive.css	(from http://st.ourhtmldemo.com/template/organic_store/index.html)
21:31:33	8451/8451	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Sep%202016%2001:45:14%20GMT	http://st.ourhtmldemo.com/template/organic_store/images/logo/logo.png	C:/My%20Web%20Sites/duan11/st.ourhtmldemo.com/template/organic_store/images/logo/logo.png	(from http://st.ourhtmldemo.com/template/organic_store/index.html)
21:31:33	5172/5172	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Oct%202016%2000:24:44%20GMT	http://st.ourhtmldemo.com/template/organic_store/images/shop/9.png	C:/My%20Web%20Sites/duan11/st.ourhtmldemo.com/template/organic_store/images/shop/9.png	(from http://st.ourhtmldemo.com/template/organic_store/index.html)
21:31:34	7954/7954	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Oct%202016%2000:25:22%20GMT	http://st.ourhtmldemo.com/template/organic_store/images/shop/11.png	C:/My%20Web%20Sites/duan11/st.ourhtmldemo.com/template/organic_store/images/shop/11.png	(from http://st.ourhtmldemo.com/template/organic_store/index.html)
21:31:34	59558/59558	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202016%2017:05:48%20GMT	http://st.ourhtmldemo.com/template/organic_store/about-us.html	C:/My%20Web%20Sites/duan11/st.ourhtmldemo.com/template/organic_store/about-us.html	(from http://st.ourhtmldemo.com/template/organic_store/index.html)
21:31:35	50376/50376	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202016%2017:04:24%20GMT	http://st.ourhtmldemo.com/template/organic_store/shop.html	C:/My%20Web%20Sites/duan11/st.ourhtmldemo.com/template/organic_store/shop.html	(from http://st.ourhtmldemo.com/template/organic_store/index.html)
21:31:35	5670/5670	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Oct%202016%2000:25:06%20GMT	http://st.ourhtmldemo.com/template/organic_store/images/shop/10.png	C:/My%20Web%20Sites/duan11/st.ourhtmldemo.com/template/organic_store/images/shop/10.png	(from http://st.ourhtmldemo.com/template/organic_store/index.html)
